ticker,cik_code,auditor,INTERNALCONTROL_EFFECTIVE,year_ended_date,financials_date,fiscal_year,signature_date,NUMBEROFCONTROLWEAKNESS,audit_fees,non_audit_fees,year,big4
FIZN,719264,Alexander Thompson Arnold PLLC,Yes,2014-12-31,2014-12-31,2014,2015-03-03,0,115975,20350,2014,0
GADS,711665,Amper Politziner & Mattia LLP,Yes,2004-12-31,2004-12-31,2004,2005-03-10,0,224000,74000,2004,0
GADS,711665,Amper Politziner & Mattia LLP,Yes,2005-12-31,2005-12-31,2005,2006-03-10,0,343000,84250,2005,0
PRPH,868278,Amper Politziner & Mattia LLP,Yes,2006-12-31,2006-12-31,2006,2007-03-02,0,603118,44890,2006,0
GADS,711665,Amper Politziner & Mattia LLP,Yes,2006-12-31,2006-12-31,2006,2007-03-08,0,343000,58140,2006,0
PRPH,868278,Amper Politziner & Mattia LLP,Yes,2007-12-31,2007-12-31,2007,2008-03-07,0,330750,57950,2007,0
SEEL,1017491,Amper Politziner & Mattia LLP,Yes,2007-12-31,2007-12-31,2007,2008-03-10,0,279000,28000,2007,0
GADS,711665,Amper Politziner & Mattia LLP,Yes,2007-12-31,2007-12-31,2007,2008-03-11,0,298000,40000,2007,0
MGTI,1001601,Amper Politziner & Mattia LLP,Yes,2007-12-31,2007-12-31,2007,2008-03-17,0,212000,135000,2007,0
PRPH,868278,Amper Politziner & Mattia LLP,Yes,2008-12-31,2008-12-31,2008,2009-03-09,0,340200,63750,2008,0
SEEL,1017491,Amper Politziner & Mattia LLP,Yes,2008-12-31,2008-12-31,2008,2009-03-16,0,187500,30000,2008,0
HIL,1287808,Amper Politziner & Mattia LLP,Yes,2008-12-31,2008-12-31,2008,2009-03-16,0,1256500,7500,2008,0
GADS,711665,Amper Politziner & Mattia LLP,Yes,2008-12-31,2008-12-31,2008,2009-03-20,0,307000,79500,2008,0
HIL,1287808,Amper Politziner & Mattia LLP,Yes,2009-12-31,2009-12-31,2009,2010-03-12,0,1108000,11850,2009,0
GADS,711665,Amper Politziner & Mattia LLP,Yes,2009-12-31,2009-12-31,2009,2010-03-23,0,307000,137350,2009,0
PCYO,276720,Anton Collins Mitchell LLP (Inactive),No,2006-08-31,2006-08-31,2006,2006-11-10,1,52000,20000,2006,0
ATEN,1580808,Armanino LLP,Yes,2019-12-31,2019-12-31,2019,2020-03-09,0,277000,0,2019,0
ATEN,1580808,Armanino LLP,Yes,2020-12-31,2020-12-31,2020,2021-03-08,0,806950,0,2020,0
PMCB,1157075,Armanino LLP,No,2016-04-30,2016-04-30,2016,2016-07-29,5,118728,6500,2016,0
HLIT,851310,Armanino LLP,Yes,2018-12-31,2018-12-31,2018,2019-03-01,0,1198000,24000,2018,0
QMCO,709283,Armanino LLP,No,2019-03-31,2019-03-31,2019,2019-08-06,5,1232000,1366000,2019,0
HLIT,851310,Armanino LLP,Yes,2019-12-31,2019-12-31,2019,2020-02-28,0,1361000,37000,2019,0
QMCO,709283,Armanino LLP,Yes,2020-03-31,2020-03-31,2020,2020-06-24,0,1144000,367000,2020,0
HLIT,851310,Armanino LLP,Yes,2020-12-31,2020-12-31,2020,2021-03-02,0,1106000,37000,2020,0
QMCO,709283,Armanino LLP,Yes,2021-03-31,2021-03-31,2021,2021-05-26,0,1180000,5500,2021,0
SMMF,811808,Arnett & Foster PLLC,Yes,2004-12-31,2004-12-31,2004,2005-03-04,0,254000,25000,2004,0
SMMF,811808,Arnett & Foster PLLC,Yes,2005-12-31,2005-12-31,2005,2006-03-03,0,204000,25000,2005,0
SMMF,811808,Arnett & Foster PLLC,Yes,2006-12-31,2006-12-31,2006,2007-03-12,0,174000,63715,2006,0
SMMF,811808,Arnett & Foster PLLC,No,2006-12-31,2006-12-31,2006,2007-09-25,1,174000,63715,2006,0
SMMF,811808,Arnett & Foster PLLC,Yes,2007-12-31,2007-12-31,2007,2008-03-17,0,173670,56095,2007,0
SMMF,811808,Arnett & Foster PLLC,Yes,2008-12-31,2008-12-31,2008,2009-03-13,0,199000,79443,2008,0
SMMF,811808,Arnett & Foster PLLC,Yes,2009-12-31,2009-12-31,2009,2010-03-30,0,170000,81493,2009,0
SMMF,811808,Arnett & Foster PLLC,Yes,2010-12-31,2010-12-31,2010,2011-02-28,0,165000,81705,2010,0
SMMF,811808,Arnett & Foster PLLC,Yes,2011-12-31,2011-12-31,2011,2012-03-01,0,165000,94268,2011,0
SMMF,811808,Arnett & Foster PLLC,Yes,2012-12-31,2012-12-31,2012,2013-02-28,0,165000,67174,2012,0
SMMF,811808,Arnett Carbis Toothman LLP,Yes,2014-12-31,2014-12-31,2014,2015-03-02,0,160660,72750,2014,0
SMMF,811808,Arnett Carbis Toothman LLP,Yes,2015-12-31,2015-12-31,2015,2016-02-26,0,179340,73060,2015,0
SMMF,811808,Arnett Foster Toothman PLLC,Yes,2013-12-31,2013-12-31,2013,2014-03-07,0,165000,72400,2013,0
SIFY,1094324,ASA & Associates LLP,Yes,2011-03-31,2011-03-31,2011,2011-10-12,0,43863,0,2011,0
SIFY,1094324,ASA & Associates LLP,Yes,2012-03-31,2012-03-31,2012,2012-08-13,0,62590,0,2012,0
SIFY,1094324,ASA & Associates LLP,Yes,2013-03-31,2013-03-31,2013,2013-07-30,0,55260,0,2013,0
SIFY,1094324,ASA & Associates LLP,Yes,2014-03-31,2014-03-31,2014,2014-07-18,0,74882,0,2014,0
SIFY,1094324,ASA & Associates LLP,Yes,2015-03-31,2015-03-31,2015,2015-06-18,0,76249,0,2015,0
SIFY,1094324,ASA & Associates LLP,Yes,2016-03-31,2016-03-31,2016,2016-06-22,0,82565,0,2016,0
SIFY,1094324,ASA & Associates LLP,Yes,2017-03-31,2017-03-31,2017,2017-06-15,0,80533,0,2017,0
SIFY,1094324,ASA & Associates LLP,Yes,2018-03-31,2018-03-31,2018,2018-06-20,0,86886,0,2018,0
SIFY,1094324,ASA & Associates LLP,Yes,2019-03-31,2019-03-31,2019,2019-06-14,0,81459,7288,2019,0
SIFY,1094324,ASA & Associates LLP,Yes,2020-03-31,2020-03-31,2020,2020-07-27,0,88894,11006,2020,0
SIFY,1094324,ASA & Associates LLP,Yes,2021-03-31,2021-03-31,2021,2021-07-28,0,95655,13472,2021,0
ANFIF,1552448,ASA & Associates LLP,Yes,2018-03-31,2018-03-31,2018,2018-10-16,0,375000,0,2018,0
CELH,1341766,Assurance Dimensions Inc,Yes,2018-12-31,2018-12-31,2018,2019-03-14,0,119500,60870,2018,0
CELH,1341766,Assurance Dimensions Inc,Yes,2019-12-31,2019-12-31,2019,2020-03-12,0,179100,79212,2019,0
CELH,1341766,Assurance Dimensions Inc,Yes,2019-12-31,2019-12-31,2019,2020-03-12,0,179100,79212,2019,0
CELH,1341766,Assurance Dimensions Inc,Yes,2019-12-31,2019-12-31,2019,2021-05-13,0,179100,79212,2019,0
WINSF,1640251,Audit Alliance LLP,No,2019-06-30,2019-06-30,2019,2020-10-01,2,240665,0,2019,0
WINSF,1640251,Audit Alliance LLP,Yes,2020-06-30,2020-06-30,2020,2020-11-12,0,204266,0,2020,0
KNDI,1316517,AWC (CPA) Limited,Yes,2014-12-31,2014-12-31,2014,2015-03-16,0,310000,13496,2014,0
KNDI,1316517,AWC (CPA) Limited,Yes,2015-12-31,2015-12-31,2015,2016-03-14,0,364000,11841,2015,0
MED,910329,Bagell Josephs Levine & Co LLC,Yes,2006-12-31,2006-12-31,2006,2007-03-15,0,179000,21000,2006,0
MED,910329,Bagell Josephs Levine & Co LLC,No,2006-12-31,2006-12-31,2006,2007-09-06,1,179000,21000,2006,0
MED,910329,Bagell Josephs Levine & Co LLC,Yes,2007-12-31,2007-12-31,2007,2008-03-14,0,199000,30000,2007,0
SAL,1060219,Baker Newman & Noyes LLC,Yes,2017-12-31,2017-12-31,2017,2018-03-15,0,235000,48000,2017,0
SAL,1060219,Baker Newman & Noyes LLC,Yes,2018-12-31,2018-12-31,2018,2019-03-15,0,247675,40760,2018,0
SAL,1060219,Baker Newman & Noyes LLC,Yes,2019-12-31,2019-12-31,2019,2020-03-13,0,290800,40800,2019,0
NWCN,934796,Baker Tilly Hong Kong Limited,Yes,2010-12-31,2010-12-31,2010,2010-03-18,0,92346,0,2010,0
NWCN,934796,Baker Tilly Hong Kong Limited,Yes,2011-12-31,2011-12-31,2011,2012-04-16,0,92346,0,2011,0
MLVF,1550603,Baker Tilly US LLP,No,2020-09-30,2020-09-30,2020,2021-01-29,2,474450,70350,2020,0
MLVF,1550603,Baker Tilly US LLP,No,2020-09-30,2020-09-30,2020,2021-01-29,2,474450,70350,2020,0
FNCB,1035976,Baker Tilly US LLP,Yes,2020-12-31,2020-12-31,2020,2021-03-12,0,242270,27775,2020,0
MSEX,66004,Baker Tilly US LLP,Yes,2020-12-31,2020-12-31,2020,2021-02-25,0,420283,32500,2020,0
TEUM,1084384,Baker Tilly US LLP,No,2018-12-31,2018-12-31,2018,2020-12-14,3,350000,28000,2018,0
TEUM,1084384,Baker Tilly US LLP,No,2018-12-31,2018-12-31,2018,2021-03-08,3,350000,28000,2018,0
TEUM,1084384,Baker Tilly US LLP,No,2019-12-31,2019-12-31,2019,2021-03-12,3,555000,227000,2019,0
NSSC,69633,Baker Tilly US LLP,Yes,2020-06-30,2020-06-30,2020,2020-09-15,0,322500,18500,2020,0
NSSC,69633,Baker Tilly US LLP,Yes,2021-06-30,2021-06-30,2021,2021-09-13,0,NA,NA,2021,0
WEYS,106532,Baker Tilly US LLP,Yes,2020-12-31,2020-12-31,2020,2021-03-12,0,288000,23500,2020,0
MSB,65172,Baker Tilly US LLP,Yes,2021-01-31,2021-01-31,2021,2021-04-27,0,64138,0,2021,0
CPK,19745,Baker Tilly US LLP,Yes,2020-12-31,2020-12-31,2020,2021-02-24,0,937880,62349,2020,0
PFIS,1056943,Baker Tilly US LLP,Yes,2020-12-31,2020-12-31,2020,2021-03-16,0,328825,0,2020,0
CZNC,810958,Baker Tilly US LLP,Yes,2020-12-31,2020-12-31,2020,2021-03-05,0,285630,141592,2020,0
QNBC,750558,Baker Tilly Virchow Krause LLP (Inactive),Yes,2014-12-31,2014-12-31,2014,2015-03-13,0,170857,9351,2014,0
QNBC,750558,Baker Tilly Virchow Krause LLP (Inactive),Yes,2015-12-31,2015-12-31,2015,2016-03-14,0,163450,12732,2015,0
QNBC,750558,Baker Tilly Virchow Krause LLP (Inactive),Yes,2016-12-31,2016-12-31,2016,2017-03-15,0,167460,13150,2016,0
EMYB,1449794,Baker Tilly Virchow Krause LLP (Inactive),Yes,2017-12-31,2017-12-31,2017,2018-03-15,0,116681,12019,2017,0
QNBC,750558,Baker Tilly Virchow Krause LLP (Inactive),Yes,2017-12-31,2017-12-31,2017,2018-03-16,0,176350,13450,2017,0
MLVF,1550603,Baker Tilly Virchow Krause LLP (Inactive),Yes,2018-09-30,2018-09-30,2018,2018-12-14,0,286290,29575,2018,0
EMYB,1449794,Baker Tilly Virchow Krause LLP (Inactive),Yes,2018-12-31,2018-12-31,2018,2019-03-13,0,141125,15833,2018,0
QNBC,750558,Baker Tilly Virchow Krause LLP (Inactive),Yes,2018-12-31,2018-12-31,2018,2019-03-14,0,175650,11023,2018,0
MLVF,1550603,Baker Tilly Virchow Krause LLP (Inactive),Yes,2019-09-30,2019-09-30,2019,2019-12-16,0,277135,81585,2019,0
EMYB,1449794,Baker Tilly Virchow Krause LLP (Inactive),Yes,2019-12-31,2019-12-31,2019,2020-03-11,0,157650,15330,2019,0
QNBC,750558,Baker Tilly Virchow Krause LLP (Inactive),Yes,2019-12-31,2019-12-31,2019,2020-03-13,0,178970,13658,2019,0
ADC,917251,Baker Tilly Virchow Krause LLP (Inactive),Yes,2009-12-31,2009-12-31,2009,2010-03-12,0,147012,22800,2009,0
ADC,917251,Baker Tilly Virchow Krause LLP (Inactive),Yes,2010-12-31,2010-12-31,2010,2011-03-15,0,142712,12000,2010,0
ADC,917251,Baker Tilly Virchow Krause LLP (Inactive),Yes,2011-12-31,2011-12-31,2011,2012-03-09,0,142116,0,2011,0
ADC,917251,Baker Tilly Virchow Krause LLP (Inactive),Yes,2012-12-31,2012-12-31,2012,2013-03-08,0,158352,45515,2012,0
ADC,917251,Baker Tilly Virchow Krause LLP (Inactive),Yes,2012-12-31,2012-12-31,2012,2014-03-07,0,158352,45515,2012,0
BCBP,1228454,Baker Tilly Virchow Krause LLP (Inactive),Yes,2014-12-31,2014-12-31,2014,2015-03-12,0,209133,45696,2014,0
BCBP,1228454,Baker Tilly Virchow Krause LLP (Inactive),Yes,2015-12-31,2015-12-31,2015,2016-03-14,0,205764,66028,2015,0
BCBP,1228454,Baker Tilly Virchow Krause LLP (Inactive),Yes,2016-12-31,2016-12-31,2016,2017-03-13,0,210811,31195,2016,0
BCBP,1228454,Baker Tilly Virchow Krause LLP (Inactive),Yes,2017-12-31,2017-12-31,2017,2018-03-06,0,204200,32080,2017,0
MSEX,66004,Baker Tilly Virchow Krause LLP (Inactive),Yes,2019-12-31,2019-12-31,2019,2020-02-27,0,544960,33000,2019,0
NSSC,69633,Baker Tilly Virchow Krause LLP (Inactive),Yes,2019-06-30,2019-06-30,2019,2019-09-13,0,360723,17500,2019,0
WEYS,106532,Baker Tilly Virchow Krause LLP (Inactive),Yes,2015-12-31,2015-12-31,2015,2016-03-10,0,250526,19007,2015,0
WEYS,106532,Baker Tilly Virchow Krause LLP (Inactive),Yes,2016-12-31,2016-12-31,2016,2017-03-09,0,258239,20000,2016,0
WEYS,106532,Baker Tilly Virchow Krause LLP (Inactive),Yes,2017-12-31,2017-12-31,2017,2018-03-13,0,267321,24300,2017,0
WEYS,106532,Baker Tilly Virchow Krause LLP (Inactive),Yes,2018-12-31,2018-12-31,2018,2019-03-14,0,278376,47300,2018,0
AFHBL,1539894,Baker Tilly Virchow Krause LLP (Inactive),No,2018-12-31,2018-12-31,2018,2020-02-12,1,1370523,0,2018,0
WEYS,106532,Baker Tilly Virchow Krause LLP (Inactive),Yes,2019-12-31,2019-12-31,2019,2020-03-12,0,281800,29500,2019,0
AFHBL,1539894,Baker Tilly Virchow Krause LLP (Inactive),No,2018-12-31,2018-12-31,2018,2020-02-12,1,1370523,0,2018,0
ISIG,875355,Baker Tilly Virchow Krause LLP (Inactive),Yes,2010-12-31,2010-12-31,2010,2011-09-09,0,208600,47600,2010,0
ISIG,875355,Baker Tilly Virchow Krause LLP (Inactive),Yes,2011-12-31,2011-12-31,2011,2012-03-07,0,111000,17100,2011,0
MSB,65172,Baker Tilly Virchow Krause LLP (Inactive),Yes,2012-01-31,2012-01-31,2012,2012-04-13,0,51534,0,2012,0
MSB,65172,Baker Tilly Virchow Krause LLP (Inactive),Yes,2013-01-31,2013-01-31,2013,2013-04-10,0,53025,0,2013,0
MSB,65172,Baker Tilly Virchow Krause LLP (Inactive),Yes,2014-01-31,2014-01-31,2014,2014-04-15,0,49050,0,2014,0
NTIC,875582,Baker Tilly Virchow Krause LLP (Inactive),Yes,2014-08-31,2014-08-31,2014,2014-11-14,0,313543,0,2014,0
CLFD,796505,Baker Tilly Virchow Krause LLP (Inactive),Yes,2014-09-30,2014-09-30,2014,2014-11-26,0,156665,8335,2014,0
MSB,65172,Baker Tilly Virchow Krause LLP (Inactive),Yes,2016-01-31,2016-01-31,2016,2016-04-14,0,60997,0,2016,0
NTIC,875582,Baker Tilly Virchow Krause LLP (Inactive),Yes,2015-08-31,2015-08-31,2015,2015-11-13,0,341070,4990,2015,0
CLFD,796505,Baker Tilly Virchow Krause LLP (Inactive),Yes,2015-09-30,2015-09-30,2015,2015-11-25,0,156577,0,2015,0
GWGH,1522690,Baker Tilly Virchow Krause LLP (Inactive),Yes,2015-12-31,2015-12-31,2015,2016-03-22,0,156000,133000,2015,0
MSB,65172,Baker Tilly Virchow Krause LLP (Inactive),Yes,2015-01-31,2015-01-31,2015,2015-04-15,0,60115,0,2015,0
CLFD,796505,Baker Tilly Virchow Krause LLP (Inactive),Yes,2016-09-30,2016-09-30,2016,2016-11-22,0,152322,0,2016,0
GWGH,1522690,Baker Tilly Virchow Krause LLP (Inactive),Yes,2016-12-31,2016-12-31,2016,2017-03-15,0,293300,87088,2016,0
MSB,65172,Baker Tilly Virchow Krause LLP (Inactive),Yes,2017-01-31,2017-01-31,2017,2017-04-14,0,64428,0,2017,0
IPIX,1355250,Baker Tilly Virchow Krause LLP (Inactive),Yes,2017-06-30,2017-06-30,2017,2017-09-08,0,134000,0,2017,0
CLFD,796505,Baker Tilly Virchow Krause LLP (Inactive),Yes,2017-09-30,2017-09-30,2017,2017-11-15,0,178706,0,2017,0
GWGH,1522690,Baker Tilly Virchow Krause LLP (Inactive),Yes,2017-12-31,2017-12-31,2017,2018-03-29,0,345526,177055,2017,0
MSB,65172,Baker Tilly Virchow Krause LLP (Inactive),Yes,2018-01-31,2018-01-31,2018,2018-04-13,0,64920,0,2018,0
IPIX,1355250,Baker Tilly Virchow Krause LLP (Inactive),Yes,2018-06-30,2018-06-30,2018,2018-09-11,0,193000,0,2018,0
NTIC,875582,Baker Tilly Virchow Krause LLP (Inactive),Yes,2018-08-31,2018-08-31,2018,2018-11-13,0,493832,0,2018,0
CLFD,796505,Baker Tilly Virchow Krause LLP (Inactive),Yes,2018-09-30,2018-09-30,2018,2018-11-14,0,208621,0,2018,0
CZWI,1367859,Baker Tilly Virchow Krause LLP (Inactive),Yes,2018-09-30,2018-09-30,2018,2018-12-10,0,298800,4150,2018,0
CZWI,1367859,Baker Tilly Virchow Krause LLP (Inactive),Yes,2018-12-31,2018-12-31,2018,2019-03-08,0,298800,4150,2018,0
IIN,88790,Baker Tilly Virchow Krause LLP (Inactive),Yes,2018-12-31,2018-12-31,2018,2019-03-14,0,442357,67100,2018,0
MSB,65172,Baker Tilly Virchow Krause LLP (Inactive),Yes,2019-01-31,2019-01-31,2019,2019-04-12,0,69170,0,2019,0
GWGH,1522690,Baker Tilly Virchow Krause LLP (Inactive),No,2018-12-31,2018-12-31,2018,2019-07-09,2,577317,133896,2018,0
NTIC,875582,Baker Tilly Virchow Krause LLP (Inactive),Yes,2019-08-31,2019-08-31,2019,2019-11-13,0,478522,6000,2019,0
CLFD,796505,Baker Tilly Virchow Krause LLP (Inactive),Yes,2019-09-30,2019-09-30,2019,2019-11-15,0,211203,0,2019,0
CZWI,1367859,Baker Tilly Virchow Krause LLP (Inactive),Yes,2019-12-31,2019-12-31,2019,2020-03-10,0,315600,101450,2019,0
IMUX,1280776,Baker Tilly Virchow Krause LLP (Inactive),Yes,2019-12-31,2019-12-31,2019,2020-03-16,0,533002,94000,2019,0
IIN,88790,Baker Tilly Virchow Krause LLP (Inactive),Yes,2019-12-31,2019-12-31,2019,2020-03-16,0,388435,22300,2019,0
MSB,65172,Baker Tilly Virchow Krause LLP (Inactive),Yes,2020-01-31,2020-01-31,2020,2020-03-13,0,65560,0,2020,0
IPIX,1355250,Baker Tilly Virchow Krause LLP (Inactive),No,2013-06-30,2013-06-30,2013,2013-09-30,2,100600,0,2013,0
IPIX,1355250,Baker Tilly Virchow Krause LLP (Inactive),Yes,2014-06-30,2014-06-30,2014,2014-09-15,0,110000,0,2014,0
IPIX,1355250,Baker Tilly Virchow Krause LLP (Inactive),Yes,2015-06-30,2015-06-30,2015,2015-09-11,0,107000,12000,2015,0
IPIX,1355250,Baker Tilly Virchow Krause LLP (Inactive),Yes,2016-06-30,2016-06-30,2016,2016-09-12,0,113000,0,2016,0
NSSC,69633,Baker Tilly Virchow Krause LLP (Inactive),No,2017-06-30,2017-06-30,2017,2017-09-13,1,283750,16500,2017,0
NSSC,69633,Baker Tilly Virchow Krause LLP (Inactive),No,2018-06-30,2018-06-30,2018,2018-09-13,1,350000,17500,2018,0
CPK,19745,Baker Tilly Virchow Krause LLP (Inactive),Yes,2014-12-31,2014-12-31,2014,2015-03-05,0,730339,127793,2014,0
MSEX,66004,Baker Tilly Virchow Krause LLP (Inactive),Yes,2014-12-31,2014-12-31,2014,2015-03-05,0,382571,23500,2014,0
CPK,19745,Baker Tilly Virchow Krause LLP (Inactive),Yes,2015-12-31,2015-12-31,2015,2016-02-26,0,767176,54238,2015,0
MSEX,66004,Baker Tilly Virchow Krause LLP (Inactive),Yes,2015-12-31,2015-12-31,2015,2016-03-04,0,385754,25618,2015,0
CPK,19745,Baker Tilly Virchow Krause LLP (Inactive),Yes,2016-12-31,2016-12-31,2016,2017-02-27,0,851748,80183,2016,0
MSEX,66004,Baker Tilly Virchow Krause LLP (Inactive),Yes,2016-12-31,2016-12-31,2016,2017-03-03,0,382431,26775,2016,0
CPK,19745,Baker Tilly Virchow Krause LLP (Inactive),Yes,2017-12-31,2017-12-31,2017,2018-02-28,0,864419,165520,2017,0
CPK,19745,Baker Tilly Virchow Krause LLP (Inactive),Yes,2018-12-31,2018-12-31,2018,2019-02-26,0,963551,59262,2018,0
CPK,19745,Baker Tilly Virchow Krause LLP (Inactive),Yes,2019-12-31,2019-12-31,2019,2020-02-26,0,940054,61146,2019,0
FUNC,763907,Baker Tilly Virchow Krause LLP (Inactive),Yes,2017-12-31,2017-12-31,2017,2018-03-09,0,292800,0,2017,0
FUNC,763907,Baker Tilly Virchow Krause LLP (Inactive),Yes,2018-12-31,2018-12-31,2018,2019-03-12,0,302000,3875,2018,0
CBFV,1605301,Baker Tilly Virchow Krause LLP (Inactive),Yes,2019-12-31,2019-12-31,2019,2020-03-11,0,298000,53040,2019,0
FUNC,763907,Baker Tilly Virchow Krause LLP (Inactive),Yes,2019-12-31,2019-12-31,2019,2020-03-12,0,330400,3300,2019,0
FUNC,763907,Baker Tilly Virchow Krause LLP (Inactive),Yes,2019-12-31,2019-12-31,2019,2020-03-13,0,330400,3300,2019,0
FBC,1033012,Baker Tilly Virchow Krause LLP (Inactive),Yes,2009-12-31,2009-12-31,2009,2010-03-15,0,1205660,48065,2009,0
FBC,1033012,Baker Tilly Virchow Krause LLP (Inactive),Yes,2010-12-31,2010-12-31,2010,2011-03-15,0,1632970,46750,2010,0
FBC,1033012,Baker Tilly Virchow Krause LLP (Inactive),Yes,2011-12-31,2011-12-31,2011,2012-03-20,0,1314100,31000,2011,0
FBC,1033012,Baker Tilly Virchow Krause LLP (Inactive),Yes,2012-12-31,2012-12-31,2012,2013-03-05,0,1627465,21000,2012,0
FBC,1033012,Baker Tilly Virchow Krause LLP (Inactive),Yes,2013-12-31,2013-12-31,2013,2014-03-05,0,1415228,36157,2013,0
FBC,1033012,Baker Tilly Virchow Krause LLP (Inactive),No,2014-12-31,2014-12-31,2014,2015-03-16,1,1703850,147267,2014,0
FNCB,1035976,Baker Tilly Virchow Krause LLP (Inactive),Yes,2014-12-31,2014-12-31,2014,2015-03-13,0,250356,14979,2014,0
FNCB,1035976,Baker Tilly Virchow Krause LLP (Inactive),Yes,2015-12-31,2015-12-31,2015,2016-03-11,0,245700,28458,2015,0
FNCB,1035976,Baker Tilly Virchow Krause LLP (Inactive),Yes,2016-12-31,2016-12-31,2016,2017-03-10,0,212000,21646,2016,0
FNCB,1035976,Baker Tilly Virchow Krause LLP (Inactive),Yes,2017-12-31,2017-12-31,2017,2018-03-09,0,223500,24142,2017,0
PFIS,1056943,Baker Tilly Virchow Krause LLP (Inactive),Yes,2017-12-31,2017-12-31,2017,2018-03-14,0,231000,124607,2017,0
FNCB,1035976,Baker Tilly Virchow Krause LLP (Inactive),Yes,2018-12-31,2018-12-31,2018,2019-03-08,0,264125,24360,2018,0
PFIS,1056943,Baker Tilly Virchow Krause LLP (Inactive),Yes,2018-12-31,2018-12-31,2018,2019-03-15,0,254325,0,2018,0
FNCB,1035976,Baker Tilly Virchow Krause LLP (Inactive),Yes,2019-12-31,2019-12-31,2019,2020-03-09,0,223000,23680,2019,0
PFIS,1056943,Baker Tilly Virchow Krause LLP (Inactive),Yes,2019-12-31,2019-12-31,2019,2020-03-16,0,293125,0,2019,0
CZNC,810958,Baker Tilly Virchow Krause LLP (Inactive),Yes,2014-12-31,2014-12-31,2014,2015-02-26,0,181260,35250,2014,0
CZNC,810958,Baker Tilly Virchow Krause LLP (Inactive),Yes,2015-12-31,2015-12-31,2015,2016-02-18,0,189000,37096,2015,0
CZNC,810958,Baker Tilly Virchow Krause LLP (Inactive),Yes,2016-12-31,2016-12-31,2016,2017-02-16,0,193750,36968,2016,0
CZNC,810958,Baker Tilly Virchow Krause LLP (Inactive),Yes,2017-12-31,2017-12-31,2017,2018-02-15,0,206975,38443,2017,0
CZNC,810958,Baker Tilly Virchow Krause LLP (Inactive),Yes,2018-12-31,2018-12-31,2018,2019-02-21,0,210000,63624,2018,0
FKYS,737875,Baker Tilly Virchow Krause LLP (Inactive),Yes,2018-12-31,2018-12-31,2018,2019-03-18,0,224805,18598,2018,0
CZNC,810958,Baker Tilly Virchow Krause LLP (Inactive),Yes,2019-12-31,2019-12-31,2019,2020-02-20,0,252000,100660,2019,0
CZNC,810958,Baker Tilly Virchow Krause LLP (Inactive),Yes,2019-12-31,2019-12-31,2019,2020-02-20,0,252000,100660,2019,0
FKYS,737875,Baker Tilly Virchow Krause LLP (Inactive),Yes,2019-12-31,2019-12-31,2019,2020-03-13,0,162010,23023,2019,0
OCUP,1228627,Baker Tilly Virchow Krause LLP (Inactive),Yes,2014-12-31,2014-12-31,2014,2015-03-16,0,229434,390,2014,0
OCUP,1228627,Baker Tilly Virchow Krause LLP (Inactive),Yes,2015-12-31,2015-12-31,2015,2016-03-14,0,205312,0,2015,0
OCUP,1228627,Baker Tilly Virchow Krause LLP (Inactive),Yes,2016-12-31,2016-12-31,2016,2017-02-24,0,189735,0,2016,0
MSEX,66004,Baker Tilly Virchow Krause LLP (Inactive),Yes,2017-12-31,2017-12-31,2017,2018-03-09,0,429268,28026,2017,0
