companyname,stateincorp,ticker,year,sic,totalassets,costofgoodssold,netincome,sale,advertising,sellingadmin,mktvalue,commonequity,totalliability
AMERICAN SOFTWARE  -CL A,GA,AMSWA,2013,7372,113.07,41.983,10.411,100.467,2,40.547,227.0874,83.244,29.826
AMERICAN SOFTWARE  -CL A,GA,AMSWA,2014,7372,131.22,41.646,10.331,100.601,2.2,41.756,272.0119,92.56,38.66
AMERICAN SOFTWARE  -CL A,GA,AMSWA,2015,7372,134.266,45.019,8.128,102.873,2.1,42.396,277.5604,92.926,41.34
AMERICAN SOFTWARE  -CL A,GA,AMSWA,2016,7372,136.724,48.883,10.242,113.889,2.1,45.861,263.8809,94.894,41.83
AMERICAN SOFTWARE  -CL A,GA,AMSWA,2017,7372,148.774,45.485,14.621,106.286,2.3,46.256,324.9972,103.75,45.024
AMERICAN VANGUARD CORP,DE,AVD,2008,2870,286.937,124.794,20.019,237.538,3.267,64.987,315.3033,155.943,130.994
AMERICAN VANGUARD CORP,DE,AVD,2009,2870,254.711,121.907,-5.789,207.929,2.632,65.13,226.7145,153.087,101.624
AMERICAN VANGUARD CORP,DE,AVD,2010,2870,281.799,126.157,10.984,229.62,2.418,69.891,234.6365,166.437,115.362
AMERICAN VANGUARD CORP,DE,AVD,2011,2870,339.141,168.31,22.068,304.429,2.095,86.204,367.9706,187.072,152.069
AMERICAN VANGUARD CORP,DE,AVD,2012,2870,399.89,191.578,36.867,366.19,2.68,101.991,884.1279,225.077,174.454
AMERICAN VANGUARD CORP,DE,AVD,2013,2870,447.443,194.829,34.449,381.021,4.011,115.906,697.4145,257.953,189.648
AMERICAN VANGUARD CORP,DE,AVD,2014,2870,473.171,167.806,4.841,298.634,4.322,108.74,338.1304,261.637,212.168
AMERICAN VANGUARD CORP,DE,AVD,2015,2870,443.539,161.006,6.591,289.382,3.535,100.378,408.9239,268.395,175.213
AMERICAN VANGUARD CORP,DE,AVD,2016,2870,429.956,167.498,12.788,312.113,2.271,107.748,562.4164,282.19,147.599
AMERICAN VANGUARD CORP,DE,AVD,2017,2870,535.592,190.696,20.274,355.047,3.02,120.598,585.3932,305.06,230.278
ANALOG DEVICES,MA,ADI,2008,3674,3090.992,852.184,786.284,2582.931,10,949.162,6219.8825,2420.263,670.729
ANALOG DEVICES,MA,ADI,2009,3674,3404.294,756.401,247.772,2014.908,5.2,780.164,7480.4231,2529.149,875.145
ANALOG DEVICES,MA,ADI,2010,3674,4328.831,841.17,712.084,2761.503,3.7,882.865,10055.6465,3199.717,1129.114
ANALOG DEVICES,MA,ADI,2011,3674,5277.635,888.56,867.394,2993.32,4.1,911.894,10896.4338,3795.413,1482.222
ANALOG DEVICES,MA,ADI,2012,3674,5620.347,850.308,651.236,2701.142,3.8,907.776,11790.7295,4165.359,1454.988
ANALOG DEVICES,MA,ADI,2013,3674,6381.75,830.862,673.487,2633.689,3.3,902.955,15334.5185,4739.576,1642.174
ANALOG DEVICES,MA,ADI,2014,3674,6859.69,918.635,629.32,2864.773,3.2,980.623,15441.9921,4757.897,2101.793
ANALOG DEVICES,MA,ADI,2015,3674,7062.178,1041.908,696.878,3435.092,3.3,1106.552,18761.1073,5072.959,1989.219
ANALOG DEVICES,MA,ADI,2016,3674,7970.278,1054.569,861.664,3421.409,4.7,1100.847,19753.7611,5165.618,2804.66
ANALOG DEVICES,MA,ADI,2017,3674,21141.294,1400.481,727.259,5107.503,12.6,1588.911,33656.4668,10161.54,10979.754
ANDERSONS INC,OH,ANDE,2008,5150,1308.773,3203.749,32.9,3489.478,4.2,190.23,298.7659,353.413,943.666
ANDERSONS INC,OH,ANDE,2009,5150,1284.391,2741.23,38.351,3025.304,4,199.116,471.9896,393.367,878.115
ANDERSONS INC,OH,ANDE,2010,5150,1699.39,3075.812,64.662,3393.791,4.1,202.03,670.1486,451.431,1234.831
ANDERSONS INC,OH,ANDE,2011,5150,1734.123,4186.479,95.106,4576.331,4,227.39,807.7537,523.995,1195.281
ANDERSONS INC,OH,ANDE,2012,5150,2182.304,4865.905,79.48,5272.01,4.4,246.929,799.8276,594.413,1570.859
ANDERSONS INC,OH,ANDE,2013,5150,2273.556,5181.849,89.939,5604.574,3.9,274.533,1675.7718,701.474,1549.135
ANDERSONS INC,OH,ANDE,2014,5150,2364.692,4079.432,109.726,4540.071,4.5,318.881,1539.0938,803.103,1540.643
ANDERSONS INC,OH,ANDE,2015,5150,2359.101,3744.201,-13.067,4198.495,5.2,333.214,884.2483,764.254,1575.362
ANDERSONS INC,OH,ANDE,2016,5150,2232.849,3494.959,11.594,3924.79,4.9,318.395,1261.8363,774.361,1442.152
ANDERSONS INC,OH,ANDE,2017,5150,2162.354,3281.134,42.511,3686.345,2.5,276.43,883.6321,815.202,1339.455
APOGEE ENTERPRISES INC,MN,APOG,2008,3442,563.508,668.759,48.551,881.809,1.5,118.691,442.3856,284.582,278.926
APOGEE ENTERPRISES INC,MN,APOG,2009,3442,527.684,699.054,51.035,925.502,1.5,119.521,263.0861,316.624,211.06
APOGEE ENTERPRISES INC,MN,APOG,2010,3442,526.854,507.808,31.742,696.703,0.9,113.765,399.5341,343.59,183.264
APOGEE ENTERPRISES INC,MN,APOG,2011,3442,515.367,473.757,-10.332,582.777,1,104.092,384.1954,327.677,187.69
APOGEE ENTERPRISES INC,MN,APOG,2012,3442,493.104,520.743,4.645,662.463,1.4,113.304,372.3827,321.198,171.906
APOGEE ENTERPRISES INC,MN,APOG,2013,3442,520.141,530.191,19.111,700.224,1.4,118.314,735.3761,333.318,186.823
APOGEE ENTERPRISES INC,MN,APOG,2014,3442,565.357,581.393,27.986,771.445,1.2,124.467,991.2323,352.63,212.727
APOGEE ENTERPRISES INC,MN,APOG,2015,3442,612.057,697.892,50.516,933.936,1.1,144.959,1331.9425,382.476,229.581
APOGEE ENTERPRISES INC,MN,APOG,2016,3442,657.44,707.819,65.342,981.189,1.2,146.177,1145.3521,406.195,251.245
APOGEE ENTERPRISES INC,MN,APOG,2017,3442,784.658,790.91,85.79,1114.533,1.1,169.798,1639.9796,470.577,314.081
ARTS WAY MFG INC,DE,ARTW,2008,3523,27.226,23.484,1.83,32.041,0.21,5.196,16.2629,12.01,15.216
ARTS WAY MFG INC,DE,ARTW,2009,3523,23.92,20.268,0.762,26.296,0.224,4.663,15.4014,12.668,11.252
ARTS WAY MFG INC,DE,ARTW,2010,3523,26.778,21.425,1.053,28.951,0.282,4.915,38.2764,13.59,13.188
ARTS WAY MFG INC,DE,ARTW,2011,3523,25.855,19.833,1.249,27.62,0.242,5.077,24.2768,14.731,11.124
ARTS WAY MFG INC,DE,ARTW,2012,3523,31.229,25.572,2.665,36.457,0.256,5.704,22.1513,17.071,14.158
ARTS WAY MFG INC,DE,ARTW,2013,3523,32.768,25.156,1.551,34.227,0.479,6.419,25.2897,18.294,14.474
ARTS WAY MFG INC,DE,ARTW,2014,3523,32.846,26.539,0.935,36.17,0.511,7.059,21.4196,19.252,13.594
ARTS WAY MFG INC,DE,ARTW,2015,3523,31.332,20.233,-0.558,27.936,0.488,6.769,12.3373,18.52,12.812
ARTS WAY MFG INC,DE,ARTW,2016,3523,27.243,15.566,-0.821,21.558,0.42,5.706,13.3543,17.476,9.767
ARTS WAY MFG INC,DE,ARTW,2017,3523,24.38,15.931,-1.637,20.715,0.356,5.734,11.2256,15.991,8.389
ASHLAND GLOBAL HOLDINGS INC,DE,ASH,2008,2820,5771,6911,167,8381,66,1161,1842.12,3202,2569
ASHLAND GLOBAL HOLDINGS INC,DE,ASH,2009,2820,9447,5951,71,8106,63,1369,3241.5,3584,5863
ASHLAND GLOBAL HOLDINGS INC,DE,ASH,2010,2820,9531,6691,332,9012,70,1481,3852.83,3803,5728
ASHLAND GLOBAL HOLDINGS INC,DE,ASH,2011,2820,12966,4575,414,6502,85,1510,3442.92,4135,8831
ASHLAND GLOBAL HOLDINGS INC,DE,ASH,2012,2820,12524,5567,26,8206,55,1827,5656.4,4029,8495
ASHLAND GLOBAL HOLDINGS INC,DE,ASH,2013,2820,12088,5016,683,7813,71,1134,7120.96,4553,7535
ASHLAND GLOBAL HOLDINGS INC,DE,ASH,2014,2820,10951,4298,233,6121,63,1249,7287,3583,7368
ASHLAND GLOBAL HOLDINGS INC,DE,ASH,2015,2820,10064,3521,309,5387,62,1050,6741.54,3037,7027
ASHLAND GLOBAL HOLDINGS INC,DE,ASH,2016,2820,9697,3066,-29,4948,64,965,7188.9,3347,6532
ASHLAND GLOBAL HOLDINGS INC,DE,ASH,2017,2820,8618,2137,1,3260,6,581,4054.18,3406,5212
ASTRONOVA INC,RI,ALOT,2008,3577,61.699,39.674,4.31,72.371,1.135,26.397,66.6778,49.355,12.344
ASTRONOVA INC,RI,ALOT,2009,3577,62.155,39.309,2.964,71.783,1.271,26.442,49.1117,51.471,10.684
ASTRONOVA INC,RI,ALOT,2010,3577,64.676,35.936,2.766,64.031,1.193,24.665,51.8883,53.819,10.857
ASTRONOVA INC,RI,ALOT,2011,3577,64.999,40.773,2.062,71.016,1.187,26.011,56.8733,54.289,10.71
ASTRONOVA INC,RI,ALOT,2012,3577,67.062,45.9,3.132,79.193,1.128,27.186,59.6827,55.663,11.399
ASTRONOVA INC,RI,ALOT,2013,3577,79.913,36.165,10.767,61.224,0.75,20.802,73.69,63.837,16.076
ASTRONOVA INC,RI,ALOT,2014,3577,77.964,40.108,3.212,68.592,1.236,25.36,103.2833,66.614,11.35
ASTRONOVA INC,RI,ALOT,2015,3577,74.33,49.307,4.662,88.347,1.717,29.746,108.4025,63.511,10.819
ASTRONOVA INC,RI,ALOT,2016,3577,77.963,54.435,4.525,94.658,1.058,32.115,115.196,67.373,10.59
ASTRONOVA INC,RI,ALOT,2017,3577,83.665,56.528,4.228,98.448,1.3,32.608,103.4322,70.537,13.128
AUTODESK INC,DE,ADSK,2008,7370,2208.9,152.8,356.2,2171.9,27.6,1475.6,9464.5,1230.5,978.4
AUTODESK INC,DE,ADSK,2009,7370,2420.7,116.7,183.6,2315.2,16.4,1655.6,3748.4222,1310.7,1110
AUTODESK INC,DE,ADSK,2010,7370,2447.2,80.3,58,1713.7,18.4,1387.1,5445.079,1473.5,973.7
AUTODESK INC,DE,ADSK,2011,7370,2787.6,91.2,212,1951.8,18.8,1473,9234.36,1609.3,1178.3
AUTODESK INC,DE,ADSK,2012,7370,3227.8,113.6,285.3,2215.6,21.3,1632.2,8132.4,1882.9,1344.9
AUTODESK INC,DE,ADSK,2013,7370,4308.4,110.9,247.4,2312.2,15.6,1723.9,8693.568,2043.2,2265.2
AUTODESK INC,DE,ADSK,2014,7370,4595,146.4,228.8,2273.9,15.6,1702,11618.375,2261.5,2333.5
AUTODESK INC,DE,ADSK,2015,7370,4913.8,236.9,81.8,2512.2,23.9,2006.5,12259.135,2219.2,2694.6
AUTODESK INC,DE,ADSK,2016,7370,5515.3,260.7,-330.5,2504.1,29.8,2098.9,10506.408,1619.6,3895.7
AUTODESK INC,DE,ADSK,2017,7370,4798.1,228.4,-582.1,2031,33.6,2076.4,17919.202,733.6,4064.5
A V HOMES INC,DE,AVHI,2008,1531,590.86,211.344,-107.225,97.732,1.33,22.388,234.1716,421.629,169.231
A V HOMES INC,DE,AVHI,2009,1531,594.719,105.135,-28.983,69.761,0.725,19.694,193.1656,444.101,149.6
A V HOMES INC,DE,AVHI,2010,1531,545.451,65.789,-35.108,57.839,1.342,18.708,255.6978,430.045,114.962
A V HOMES INC,DE,AVHI,2011,1531,409.056,211.395,-165.881,87.892,2.537,15.713,92.9307,254.197,154.41
A V HOMES INC,DE,AVHI,2012,1531,337.871,164.492,-90.235,106.288,2.907,16.148,182.3999,166.172,157.995
A V HOMES INC,DE,AVHI,2013,1531,466.728,130.262,-9.477,143.63,2.445,15.975,399.4856,286.101,164.994
A V HOMES INC,DE,AVHI,2014,1531,668.886,262.934,-1.932,286.36,3.1,14.841,321.589,286.74,382.146
A V HOMES INC,DE,AVHI,2015,1531,742.016,476.056,11.95,517.92,3,16,286.0857,301.681,440.335
A V HOMES INC,DE,AVHI,2016,1531,840.233,631.481,147.107,779.321,3.6,100.219,355.7054,450.807,389.426
A V HOMES INC,DE,AVHI,2017,1531,1010.144,695.278,-21.936,843.253,4,107.209,372.3606,431.97,578.174
AVON PRODUCTS,NY,AVP,2008,2844,6074,3787.7,875.3,10690.1,390.5,5344.2,10245.1905,674.9,5361.7
AVON PRODUCTS,NY,AVP,2009,2844,6832.7,3733.8,625.8,10382.8,352.7,5311.6,13465.62,1272.6,5520.1
AVON PRODUCTS,NY,AVP,2010,2844,7873.7,3803.5,605.9,10862.8,400.4,5666.2,12482.4324,1656.5,6201.1
AVON PRODUCTS,NY,AVP,2011,2844,7735,3941.9,512.7,11291.6,311.2,5996.6,7526.076,1570.4,6149.8
AVON PRODUCTS,NY,AVP,2012,2844,7382.5,3976.6,-42.5,10717.1,253.6,5859.8,6206.392,1217.1,6149.2
AVON PRODUCTS,NY,AVP,2013,2844,6492.3,3504,-55.9,9955,201.9,5435.4,7471.758,1110.1,5364.8
AVON PRODUCTS,NY,AVP,2014,2844,5496.8,3188.5,-388.6,8851.4,177.1,4752.4,4081.833,289.8,5191.5
AVON PRODUCTS,NY,AVP,2015,2844,3879.5,2291.9,-1144.1,6160.5,128,3392.3,1763.775,-1070.3,4935.9
AVON PRODUCTS,NY,AVP,2016,2844,3418.9,2142.6,-107.4,5717.7,108.9,3091.1,2205.504,-848,3810.4
AVON PRODUCTS,NY,AVP,2017,2844,3697.9,2088.9,22,5715.6,118.4,3162.5,946.645,-725,3944.8
BASSETT FURNITURE INDS,VA,BSET,2008,2511,243.825,165.716,-40.355,288.298,11.014,128.987,48.535,130.179,113.646
BASSETT FURNITURE INDS,VA,BSET,2009,2511,216.229,123.022,-22.699,232.722,7.868,119.801,42.269,110.334,105.895
BASSETT FURNITURE INDS,VA,BSET,2010,2511,197.317,116.343,-2.002,235.254,8.462,116.887,47.6231,106.305,91.012
BASSETT FURNITURE INDS,VA,BSET,2011,2511,223.174,119.929,55.342,253.208,10.399,138.476,90.1689,152.435,70.739
BASSETT FURNITURE INDS,VA,BSET,2012,2511,227.18,122.722,26.713,269.672,13.296,126.521,120.3991,157.28,69.9
BASSETT FURNITURE INDS,VA,BSET,2013,2511,225.849,148.934,5.096,321.286,14.75,155.989,171.2464,157.409,68.44
BASSETT FURNITURE INDS,VA,BSET,2014,2511,240.746,157.775,9.299,340.738,15.614,160.476,205.6628,156.832,83.914
BASSETT FURNITURE INDS,VA,BSET,2015,2511,282.543,178.692,20.433,430.927,16.228,215.094,342.3258,177.366,105.177
BASSETT FURNITURE INDS,VA,BSET,2016,2511,278.267,168.199,15.829,432.038,16.688,224.356,311.5032,180.705,97.562
BASSETT FURNITURE INDS,VA,BSET,2017,2511,293.748,176.59,18.256,452.503,18.834,234.486,412.3392,191.46,102.288
VERIZON COMMUNICATIONS INC,DE,VZ,2008,4812,202352,38902,6428,97354,2754,25776,96293.628,41706,123447
VERIZON COMMUNICATIONS INC,DE,VZ,2009,4812,227251,42622,3651,107808,3020,29491,93945.6808,41606,142884
VERIZON COMMUNICATIONS INC,DE,VZ,2010,4812,220005,42008,2549,106800,2451,29873,101150.8829,38569,133093
VERIZON COMMUNICATIONS INC,DE,VZ,2011,4812,230461,45875,2404,110875,2523,35624,113700.7219,35970,144553
VERIZON COMMUNICATIONS INC,DE,VZ,2012,4812,225222,45916,875,115846,2381,39331,123690.2806,33157,139689
VERIZON COMMUNICATIONS INC,DE,VZ,2013,4812,274098,44887,11497,120550,2438,27089,140638.68,38836,178682
VERIZON COMMUNICATIONS INC,DE,VZ,2014,4812,232708,49931,9625,127079,2526,41016,194369.2159,12298,219032
VERIZON COMMUNICATIONS INC,DE,VZ,2015,4812,244640,52557,17879,131620,2749,29986,188262.1485,16428,226798
VERIZON COMMUNICATIONS INC,DE,VZ,2016,4812,244180,51424,13127,125980,2744,32576,217613.3919,22524,220148
VERIZON COMMUNICATIONS INC,DE,VZ,2017,4812,257143,51385,30101,126034,2643,30713,215926.6647,43096,212456
BEST BUY CO INC,MN,BBY,2008,5731,12758,29892,1407,40023,684,7385,17658.9598,4484,8234
BEST BUY CO INC,MN,BBY,2009,5731,15826,33215,1003,45015,765,8984,11922.3729,4643,10670
BEST BUY CO INC,MN,BBY,2010,5731,18302,36590,1317,49694,740,9873,15286.7475,6320,11338
BEST BUY CO INC,MN,BBY,2011,5731,17849,36619,1277,50272,901,10325,12657.1016,6602,10557
BEST BUY CO INC,MN,BBY,2012,5731,16005,37173,-1231,50705,995,10242,8432.58,3745,11639
BEST BUY CO INC,MN,BBY,2013,5731,16787,33439,-441,45085,913,9502,5500.3678,3061,13072
BEST BUY CO INC,MN,BBY,2014,5731,14013,32268,532,42410,775,8356,8162.5185,3986,10024
BEST BUY CO INC,MN,BBY,2015,5731,15256,30636,1233,40339,711,7592,12371.6736,4995,10256
BEST BUY CO INC,MN,BBY,2016,5731,13519,29767,897,39528,742,7599,9043.1475,4378,9141
BEST BUY CO INC,MN,BBY,2017,5731,13856,29492,1228,39403,743,7524,13850.5282,4709,9147
NON INVASIVE MONITOR,FL,NIMU,2008,3845,1.459,0.013,-1.836,0.302,0.003,2.131,34.0195,0.901,0.495
NON INVASIVE MONITOR,FL,NIMU,2009,3845,2.536,0.136,-1.768,0.546,0.043,2.125,25.9867,2.186,0.285
NON INVASIVE MONITOR,FL,NIMU,2010,3845,1.631,0.12,-1.624,0.617,0.064,2.017,23.3709,0.641,0.925
NON INVASIVE MONITOR,FL,NIMU,2011,3845,0.723,0.053,-1.392,0.743,0.017,1.403,15.8521,-0.718,1.376
NON INVASIVE MONITOR,FL,NIMU,2012,3845,0.616,0.008,-0.554,0.25,0,0.637,8.9599,-1.219,1.77
NON INVASIVE MONITOR,FL,NIMU,2013,3845,0.81,0.036,-0.507,0.109,0,0.447,14.2096,-1.213,1.958
NON INVASIVE MONITOR,FL,NIMU,2014,3845,0.526,0.006,-0.443,0.013,0,0.32,12.6307,-1.652,2.113
NON INVASIVE MONITOR,FL,NIMU,2015,3845,0.528,0,-0.418,0,0,0.255,18.9696,-2.069,2.532
NON INVASIVE MONITOR,FL,NIMU,2016,3845,0.242,0.335,-0.741,0.023,0,0.259,10.2709,-2.81,2.987
NON INVASIVE MONITOR,FL,NIMU,2017,3845,0.021,0.1,-0.488,0.006,0,0.201,12.4041,-3.298,3.254
BLOCK H & R INC,MO,HRB,2008,7200,5623.425,2588.94,-308.647,4403.877,205.7,876.186,7129.8606,987.818,4635.607
BLOCK H & R INC,MO,HRB,2009,7200,5359.722,2386.412,485.673,4083.577,249.2,646.302,5058.3043,1405.859,3953.863
BLOCK H & R INC,MO,HRB,2010,7200,5234.318,2260.701,479.242,3874.332,254.8,601.994,5919.7329,1440.63,3793.688
BLOCK H & R INC,MO,HRB,2011,7200,5207.961,2176.343,406.11,3774.296,264.2,671.436,5279.7781,1449.574,3758.387
BLOCK H & R INC,MO,HRB,2012,7200,4649.567,1492.474,265.932,2893.771,278.8,598.528,4294.1493,1325.892,3323.675
BLOCK H & R INC,MO,HRB,2013,7200,4537.779,1459.841,433.948,2905.943,270.8,587.291,7562.8949,1263.547,3274.232
